BATSMAN_NAME,4s,6s,PERCENTAGE
"V Kohli",504,202,2.38
"S Dhawan",591,109,2.18
"RG Sharma",458,214,2.11
"SK Raina",493,194,2.09
"DA Warner",510,195,1.97
"RV Uthappa",454,163,1.89
"G Gambhir",492,59,1.82
"MS Dhoni",313,216,1.81
"CH Gayle",384,349,1.73
"AM Rahane",416,76,1.72
"AB de Villiers",390,235,1.69
"KD Karthik",377,105,1.56
"AT Rayudu",308,132,1.54
"SR Watson",376,190,1.49
"MK Pandey",288,93,1.43
"PA Patel",365,49,1.26
"YK Pathan",262,159,1.20
"JH Kallis",255,44,1.18
"BB McCullum",293,130,1.17
"Yuvraj Singh",217,149,1.14
"M Vijay",247,91,1.14
"KA Pollard",196,198,1.09
"SR Tendulkar",296,29,1.06
"KL Rahul",234,104,1.03
"SV Samson",191,115,1.02
"R Dravid",269,28,0.99
"SE Marsh",266,78,0.99
"SPD Smith",212,58,0.96
"V Sehwag",334,106,0.95
"F du Plessis",205,73,0.94
"DR Smith",245,117,0.93
"SS Iyer",189,83,0.93
"RA Jadeja",157,76,0.92
"JP Duminy",126,79,0.87
"MEK Hussey",198,52,0.85
"AJ Finch",204,75,0.84
"WP Saha",184,64,0.80
"AC Gilchrist",239,92,0.80
"DPMD Jayawardene",200,39,0.79
"SA Yadav",221,58,0.79
"MK Tiwary",156,40,0.77
"Q de Kock",201,76,0.77
"KC Sangakkara",195,27,0.74
"RR Pant",184,103,0.73
"Mandeep Singh",170,37,0.71
"DA Miller",126,87,0.71
"NV Ojha",121,79,0.70
"SC Ganguly",137,42,0.69
"MA Agarwal",161,67,0.68
"S Badrinath",154,28,0.64
"KS Williamson",137,54,0.63
"DJ Bravo",116,61,0.62
"SS Tiwary",101,48,0.62
"KK Nair",160,39,0.61
"JC Buttler",167,77,0.61
"BJ Hodge",122,43,0.60
"DJ Hussey",90,60,0.57
"N Rana",127,72,0.56
"TM Dilshan",140,24,0.54
"EJG Morgan",104,58,0.54
"GJ Maxwell",119,91,0.52
"IK Pathan",87,37,0.51
"KM Jadhav",99,38,0.49
"CA Lynn",128,63,0.48
"Ishan Kishan",100,64,0.47
"AD Russell",105,129,0.46
"HH Pandya",86,93,0.46
"Y Venugopal Rao",77,37,0.45
"LMP Simmons",109,44,0.45
"LRPL Taylor",66,46,0.44
"ML Hayden",121,44,0.43
"HH Gibbs",83,31,0.43
"M Vohra",97,39,0.41
"CL White",76,36,0.40
"A Symonds",74,41,0.40
"MC Henriques",87,27,0.40
"Shubman Gill",87,24,0.40
"KP Pietersen",91,40,0.39
"AR Patel",53,43,0.39
"RA Tripathi",95,37,0.39
"MS Bisla",93,23,0.38
"KH Pandya",95,40,0.38
"JA Morkel",61,55,0.37
"GC Smith",94,9,0.36
"STR Binny",66,35,0.36
"BA Stokes",79,32,0.36
"Harbhajan Singh",79,42,0.33
"Shakib Al Hasan",70,20,0.32
"MP Stoinis",65,34,0.32
"AD Mathews",44,29,0.31
"PP Shaw",99,27,0.31
"ST Jayasuriya",84,39,0.30
"AM Nayar",55,20,0.30
"TL Suman",55,26,0.30
"SP Narine",103,52,0.30
"JM Bairstow",79,31,0.30
"GJ Bailey",59,19,0.29
"PP Chawla",54,18,0.28
"V Shankar",44,25,0.27
"DJ Hooda",32,29,0.26
"M Manhas",43,10,0.25
"JD Ryder",69,19,0.24
"RS Bopara",39,16,0.24
"Gurkeerat Singh",55,11,0.23
"CJ Anderson",40,31,0.23
"PC Valthaty",61,20,0.22
"HM Amla",60,21,0.22
"A Mishra",29,5,0.21
"CA Pujara",50,4,0.21
"OA Shah",34,23,0.21
"JP Faulkner",36,23,0.21
"D Padikkal",51,8,0.21
"R Ashwin",35,11,0.20
"DT Christian",22,19,0.20
"LR Shukla",33,16,0.19
"J Botha",39,5,0.19
"AL Menaria",24,18,0.19
"CH Morris",39,30,0.19
"SA Asnodkar",56,10,0.18
"E Lewis",36,26,0.18
"P Kumar",22,17,0.17
"DB Ravi Teja",35,9,0.17
"NLTC Perera",23,26,0.17
"GH Vihari",23,1,0.17
"SN Khan",50,11,0.17
"N Pooran",33,39,0.17
"MV Boucher",32,13,0.16
"JR Hopes",49,11,0.16
"S Sohal",34,18,0.16
"SP Goswami",32,3,0.16
"UBT Chand",32,9,0.16
"JEC Franklin",25,9,0.16
"Azhar Mahmood",39,13,0.16
"P Negi",27,16,0.16
"R Vinay Kumar",21,9,0.15
"R Bhatia",24,13,0.15
"KV Sharma",18,14,0.15
"AP Tare",40,11,0.15
"VVS Laxman",33,5,0.14
"DB Das",23,16,0.14
"Y Nagar",20,9,0.14
"R Tewatia",24,20,0.14
"M Kaif",22,6,0.13
"B Chipli",28,7,0.13
"LA Pomersbach",25,13,0.13
"DJG Sammy",15,18,0.13
"SW Billings",31,10,0.13
"K Goel",17,9,0.12
"R Sathish",22,6,0.12
"RN ten Doeschate",26,15,0.12
"C de Grandhomme",18,18,0.12
"SK Warne",14,6,0.11
"AA Jhunjhunwala",19,5,0.11
"MD Mishra",24,8,0.11
"R Parag",23,8,0.11
"SM Katich",26,8,0.10
"MJ Lumb",45,6,0.10
"MR Marsh",9,14,0.10
"B Kumar",17,3,0.10
"A Ashish Reddy",16,15,0.10
"MJ Guptill",24,15,0.10
"MM Ali",21,23,0.10
"SO Hetmyer",15,19,0.10
"SM Curran",25,15,0.10
"Salman Butt",30,2,0.09
"SP Fleming",27,3,0.09
"YV Takawale",26,3,0.09
"AS Raut",13,7,0.09
"R McLaren",14,1,0.09
"FY Fazal",22,1,0.09
"CA Ingram",22,5,0.09
"MN Samuels",9,7,0.09
"PA Reddy",15,2,0.09
"MG Johnson",10,7,0.09
"PJ Cummins",14,12,0.09
"RD Gaikwad",16,6,0.09
"AB Agarkar",13,5,0.08
"DW Steyn",14,3,0.08
"PD Collingwood",9,13,0.08
"CM Gautam",17,6,0.08
"BCJ Cutting",15,19,0.08
"S Gopal",17,1,0.08
"TM Head",12,8,0.08
"Washington Sundar",15,6,0.08
"RT Ponting",5,2,0.07
"Z Khan",11,2,0.07
"W Jaffer",14,3,0.07
"SB Styris",10,3,0.07
"MN van Wyk",19,1,0.07
"RE van der Merwe",11,8,0.07
"P Dogra",4,5,0.07
"AC Voges",15,3,0.07
"UT Yadav",11,4,0.07
"DH Yagnik",23,2,0.07
"N Saini",16,0,0.07
"MC Juneja",11,1,0.07
"BJ Rohrer",21,5,0.07
"R Dhawan",13,4,0.07
"C Munro",19,8,0.07
"JJ Roy",18,8,0.07
"K Rabada",9,4,0.07
"JC Archer",11,14,0.07
"S Dube",6,12,0.07
"JDP Oram",6,5,0.06
"SM Pollock",12,8,0.06
"DS Kulkarni",7,2,0.06
"M Kartik",7,1,0.06
"MF Maharoof",12,9,0.06
"S Vidyut",21,3,0.06
"S Anirudha",9,7,0.06
"Niraj Patel",14,1,0.06
"DL Vettori",11,2,0.06
"RJ Harris",6,3,0.06
"Bipul Sharma",11,9,0.06
"CJ Ferguson",9,0,0.06
"BB Samantray",13,2,0.06
"MM Sharma",9,4,0.06
"CR Brathwaite",10,16,0.06
"K Gowtham",13,12,0.06
"AD Hales",13,6,0.06
"PK Garg",9,4,0.06
"PR Shah",9,2,0.05
"B Lee",8,8,0.05
"SD Chitnis",10,2,0.05
"RJ Quiney",12,3,0.05
"AA Bilakhia",5,0,0.05
"M Morkel",11,5,0.05
"SL Malinga",6,5,0.05
"AB McDonald",9,4,0.05
"IR Jaggi",6,0,0.05
"DJ Jacobs",10,4,0.05
"AC Blizzard",21,2,0.05
"HV Patel",5,9,0.05
"DJ Harris",11,5,0.05
"MJ Clarke",12,0,0.05
"Sachin Baby",11,5,0.05
"TG Southee",8,4,0.05
"MA Starc",10,0,0.05
"D Wiese",12,4,0.05
"AD Nath",7,2,0.05
"UT Khawaja",14,3,0.05
"Rashid Khan",8,11,0.05
"Mohammad Nabi",13,7,0.05
"DJM Short",11,5,0.05
"TK Curran",8,3,0.05
"Abhishek Sharma",10,8,0.05
"Mohammad Hafeez",7,2,0.04
"M Rawat",4,1,0.04
"WPUJC Vaas",2,3,0.04
"RP Singh",2,1,0.04
"Kamran Akmal",13,8,0.04
"WA Mota",2,0,0.04
"RR Sarwan",6,1,0.04
Misbah-ul-Haq,10,6,0.04
"MS Gony",6,8,0.04
"A Chopra",7,0,0.04
"AD Mascarenhas",5,1,0.04
"Iqbal Abdulla",9,1,0.04
"LA Carseldine",11,0,0.04
"Anirudh Singh",6,1,0.04
"R Sharma",5,3,0.04
"WD Parnell",4,1,0.04
"M Klinger",9,0,0.04
"S Nadeem",2,0,0.04
"VR Aaron",2,2,0.04
"S Rana",9,1,0.04
"RE Levi",10,4,0.04
"KK Cooper",9,8,0.04
"Ankit Sharma",7,4,0.04
"AP Majumdar",7,2,0.04
"NM Coulter-Nile",7,4,0.04
"JO Holder",9,5,0.04
"MJ McClenaghan",5,7,0.04
"AJ Tye",6,5,0.04
"Kuldeep Yadav",5,0,0.04
"RK Singh",6,2,0.04
"MK Lomror",5,3,0.04
"JR Philippe",9,1,0.04
"B Akhil",5,5,0.03
"SK Trivedi",3,1,0.03
"DJ Thornely",2,2,0.03
"SB Bangar",1,3,0.03
"A Nehra",3,1,0.03
"S Sreesanth",6,0,0.03
"I Sharma",4,2,0.03
"Shoaib Malik",5,0,0.03
"AB Dinda",2,0,0.03
"A Kumble",3,0,0.03
"L Balaji",2,1,0.03
"RR Powar",6,1,0.03
"A Flintoff",5,2,0.03
"Yashpal Singh",5,0,0.03
"KB Arun Karthik",4,1,0.03
"AG Paunikar",9,0,0.03
"RV Gomez",5,1,0.03
"S Aravind",7,0,0.03
"TR Birt",9,2,0.03
"JD Unadkat",6,1,0.03
"Mohammed Shami",5,2,0.03
"R Rampaul",3,2,0.03
"LJ Wright",16,3,0.03
"Sandeep Sharma",3,0,0.03
"JDS Neesham",3,2,0.03
"RR Rossouw",3,3,0.03
"YS Chahal",0,0,0.03
"NS Naik",2,0,0.03
"CR Woakes",5,2,0.03
"DL Chahar",2,6,0.03
"Mohammed Siraj",4,1,0.03
"H Klaasen",5,1,0.03
"SE Rutherford",2,7,0.03
"Abdul Samad",8,6,0.03
"L Ronchi",6,1,0.02
"S Chanderpaul",4,0,0.02
"AS Yadav",5,2,0.02
"Shahid Afridi",7,6,0.02
"Sohail Tanvir",3,1,0.02
"PJ Sangwan",1,0,0.02
"Joginder Sharma",1,2,0.02
"M Muralitharan",1,0,0.02
"MM Patel",5,0,0.02
"PP Ojha",0,0,0.02
"SB Jakati",3,0,0.02
"AB Barath",5,1,0.02
"S Sriram",3,0,0.02
"B Sumanth",3,0,0.02
"Sunny Singh",6,1,0.02
"MS Wade",0,0,0.02
"RJ Peterson",3,1,0.02
"AS Rajpoot",2,1,0.02
"KW Richardson",2,1,0.02
"PV Tambe",1,0,0.02
"JJ Bumrah",2,1,0.02
"BR Dunk",7,0,0.02
"Imran Tahir",5,0,0.02
"Anureet Singh",2,1,0.02
"J Suchith",4,2,0.02
"SN Thakur",5,1,0.02
"CJ Jordan",2,0,0.02
"Basil Thampi",1,1,0.02
"LH Ferguson",4,1,0.02
"SP Jackson",5,0,0.02
"M Markande",3,0,0.02
"NA Saini",3,0,0.02
"LS Livingstone",6,5,0.02
"P Simran Singh",3,1,0.02
"YBK Jaiswal",2,2,0.02
"KL Nagarkoti",1,0,0.02
"N Jagadeesan",4,0,0.02
"AA Noffke",1,0,0.01
"SB Joshi",0,0,0.01
"T Kohli",0,1,0.01
"D Salunkhe",5,0,0.01
"DS Lehmann",3,0,0.01
"MA Khote",2,1,0.01
"Pankaj Singh",0,0,0.01
"TM Srivastava",0,0,0.01
"VY Mahesh",0,0,0.01
"Umar Gul",1,5,0.01
"LPC Silva",5,1,0.01
"RR Raje",1,1,0.01
"M Ntini",2,0,0.01
"DT Patil",1,0,0.01
"CK Kapugedera",0,0,0.01
"T Taibu",3,0,0.01
"J Arunkumar",5,0,0.01
"A Mukund",1,0,0.01
"T Thushara",0,0,0.01
"T Henderson",0,1,0.01
"R Bishnoi",1,2,0.01
"GR Napier",1,0,0.01
"SM Harwood",0,0,0.01
"D du Preez",0,0,0.01
"A Singh",0,0,0.01
"Mohammad Ashraful",0,0,0.01
"Jaskaran Singh",0,0,0.01
"JM Kemp",1,1,0.01
"S Ladda",0,0,0.01
"DP Nannes",0,0,0.01
"DR Martyn",1,0,0.01
"S Narwal",6,0,0.01
"J Theron",1,0,0.01
"SW Tait",1,1,0.01
"A Mithun",4,1,0.01
"AP Dole",3,1,0.01
"AN Ahmed",4,1,0.01
"DE Bollinger",1,1,0.01
"C Madan",3,0,0.01
"Harmeet Singh",3,0,0.01
"AUK Pathan",5,2,0.01
"JJ van der Wath",1,1,0.01
"TD Paine",0,0,0.01
"AC Thomas",1,1,0.01
"BJ Haddin",2,1,0.01
"NL McCullum",0,1,0.01
"J Syed Mohammad",4,0,0.01
"AG Murtaza",1,0,0.01
"Harpreet Singh",0,0,0.01
"AA Chavan",2,0,0.01
"ND Doshi",0,0,0.01
"Y Gnaneswara Rao",3,0,0.01
"GB Hogg",1,0,0.01
"CJ McKay",0,0,0.01
"P Awana",0,0,0.01
"R Shukla",2,0,0.01
"MDKJ Perera",3,0,0.01
"B Laughlin",0,0,0.01
"BMAJ Mendis",0,0,0.01
"SMSM Senanayake",0,0,0.01
"X Thalaivan Sargunam",0,0,0.01
"UA Birla",1,0,0.01
"Parvez Rasool",1,0,0.01
"S Kaul",0,0,0.01
"NJ Maddinson",4,0,0.01
"VH Zol",3,1,0.01
"Karanveer Singh",1,0,0.01
"SA Abbott",1,1,0.01
"P Sahu",1,1,0.01
"M Ashwin",0,0,0.01
"KC Cariappa",0,2,0.01
"PSP Handscomb",0,0,0.01
"Swapnil Singh",0,0,0.01
"J Yadav",0,0,0.01
"F Behardien",2,0,0.01
"BB Sran",0,0,0.01
"ER Dwivedi",2,2,0.01
"A Choudhary",1,1,0.01
"TS Mills",0,1,0.01
"Vishnu Vinod",1,1,0.01
"RD Chahar",2,0,0.01
"AF Milne",0,0,0.01
"S Badree",0,0,0.01
"AR Bawne",1,0,0.01
"TA Boult",0,1,0.01
"Mujeeb Ur Rahman",2,0,0.01
"Shivam Mavi",2,0,0.01
"RK Bhui",0,0,0.01
"DR Shorey",0,1,0.01
"M Prasidh Krishna",0,0,0.01
"IS Sodhi",0,0,0.01
"KMA Paul",1,1,0.01
"P Ray Barman",2,0,0.01
"SD Lad",1,1,0.01
"AS Joseph",2,0,0.01
"MJ Santner",0,3,0.01
"AJ Turner",0,0,0.01
"Harpreet Brar",2,1,0.01
"JL Pattinson",2,0,0.01
"T Banton",1,1,0.01
"TU Deshpande",2,1,0.01
"CV Varun",0,0,0.01
"I Udana",1,1,0.01
"Ravi Bishnoi",1,0,0.01
"AT Carey",0,1,0.01
"P Dubey",0,0,0.01
"VRV Singh",1,0,0.00
"DNT Zoysa",1,0,0.00
"D Kalyankrishna",0,0,0.00
"Mohammad Asif",0,0,0.00
"GD McGrath",1,0,0.00
"U Kaul",0,0,0.00
"Younis Khan",0,0,0.00
"PM Sarvesh Kumar",0,0,0.00
"DP Vijaykumar",0,0,0.00
"Shoaib Akhtar",0,0,0.00
"Abdur Razzak",0,0,0.00
"H Das",0,0,0.00
"CRD Fernando",0,0,0.00
"VS Yeligati",0,0,0.00
"Kamran Khan",0,0,0.00
"FH Edwards",0,0,0.00
"AN Ghosh",1,0,0.00
"BAW Mendis",0,0,0.00
"Shoaib Ahmed",0,0,0.00
"KP Appanna",0,0,0.00
"C Nanda",0,0,0.00
"Mashrafe Mortaza",0,0,0.00
"SS Shaikh",1,0,0.00
"A Uniyal",0,0,0.00
"YA Abdulla",0,0,0.00
"S Tyagi",0,0,0.00
"RS Gavaskar",0,0,0.00
"SE Bond",0,0,0.00
"SJ Srivastava",0,0,0.00
"KAJ Roach",1,0,0.00
"CK Langeveldt",0,1,0.00
"VS Malik",1,0,0.00
"RS Sodhi",1,0,0.00
"NJ Rimmington",0,0,0.00
"R Ninan",0,0,0.00
"SB Wagh",0,0,0.00
"S Randiv",0,0,0.00
"JE Taylor",0,0,0.00
"I Malhotra",1,0,0.00
"L Ablish",0,0,0.00
"P Parameswaran",0,0,0.00
"BA Bhatt",0,1,0.00
"DAJ Bracewell",1,0,0.00
"RR Bhatkal",0,0,0.00
"KMDN Kulasekara",1,0,0.00
"V Pratap Singh",0,0,0.00
"K Upadhyay",0,1,0.00
"A Chandila",0,0,0.00
"Sunny Gupta",0,0,0.00
"IC Pandey",0,0,0.00
"Shivam Sharma",1,0,0.00
"BE Hendricks",0,0,0.00
"M de Lange",0,0,0.00
"RG More",0,0,0.00
"DJ Muthuswami",0,0,0.00
"KJ Abbott",0,1,0.00
"A Zampa",1,0,0.00
"S Kaushik",0,0,0.00
"DM Bravo",1,0,0.00
"Ankit Soni",0,1,0.00
"MA Wood",0,0,0.00
"B Stanlake",1,0,0.00
"A Dananjaya",0,0,0.00
"LE Plunkett",0,0,0.00
"Mustafizur Rahman",0,0,0.00
"P Chopra",2,0,0.00
"JPR Scantlebury-Searles",0,1,0.00
"Rasikh Salam",0,0,0.00
"S Lamichhane",0,0,0.00
"GC Viljoen",0,0,0.00
"Avesh Khan",1,0,0.00
"HF Gurney",0,0,0.00
"JL Denly",0,0,0.00
"KK Ahmed",0,0,0.00
"Y Prithvi Raj",0,0,0.00
"A Nortje",0,0,0.00
"Kartik Tyagi",0,0,0.00
"Shahbaz Ahmed",0,0,0.00
"T Natarajan",0,0,0.00
"SS Cottrell",0,0,0.00
"Arshdeep Singh",0,0,0.00
"DR Sams",0,0,0.00
