IPL_EDITION,DATE,TEAM1,TEAM2,WINNER,RESULT,RESULT_MARGIN
2016,2016-05-14,"Kolkata Knight Riders","Rising Pune Supergiants","Kolkata Knight Riders",wickets,8
2016,2016-05-15,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,80
2016,2016-05-16,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,9
2016,2016-05-17,"Rising Pune Supergiants","Delhi Daredevils","Rising Pune Supergiants",runs,19
2016,2016-05-18,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",runs,82
2016,2016-05-19,"Gujarat Lions","Kolkata Knight Riders","Gujarat Lions",wickets,6
2016,2016-05-20,"Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils",wickets,6
2016,2016-05-21,"Rising Pune Supergiants","Kings XI Punjab","Rising Pune Supergiants",wickets,4
2016,2016-05-21,"Gujarat Lions","Mumbai Indians","Gujarat Lions",wickets,6
2016,2016-05-22,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",runs,22
2016,2016-05-22,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,6
2016,2016-05-24,"Gujarat Lions","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,4
2016,2016-05-25,"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad",runs,22
2016,2016-05-27,"Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,4
2016,2016-05-29,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad",runs,8
2017,2017-04-06,"Rising Pune Supergiant","Mumbai Indians","Rising Pune Supergiant",wickets,7
2017,2017-04-07,"Gujarat Lions","Kolkata Knight Riders","Kolkata Knight Riders",wickets,10
2017,2017-04-08,"Kings XI Punjab","Rising Pune Supergiant","Kings XI Punjab",wickets,6
2017,2017-04-08,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",runs,15
2017,2017-04-09,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,4
2017,2017-04-10,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab",wickets,8
2017,2017-04-11,"Rising Pune Supergiant","Delhi Daredevils","Delhi Daredevils",runs,97
2017,2017-04-12,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",wickets,4
2017,2017-04-13,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",wickets,8
2017,2017-04-14,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",wickets,4
2017,2017-04-14,"Gujarat Lions","Rising Pune Supergiant","Gujarat Lions",wickets,7
2017,2017-04-15,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",runs,17
2017,2017-04-15,"Delhi Daredevils","Kings XI Punjab","Delhi Daredevils",runs,51
2017,2017-04-16,"Mumbai Indians","Gujarat Lions","Mumbai Indians",wickets,6
2017,2017-04-16,"Royal Challengers Bangalore","Rising Pune Supergiant","Rising Pune Supergiant",runs,27
2017,2017-04-17,"Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders",wickets,4
2017,2017-04-18,"Gujarat Lions","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,21
2017,2017-04-20,"Kings XI Punjab","Mumbai Indians","Mumbai Indians",wickets,8
2017,2017-04-21,"Kolkata Knight Riders","Gujarat Lions","Gujarat Lions",wickets,4
2017,2017-04-22,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",runs,14
2017,2017-04-22,"Rising Pune Supergiant","Sunrisers Hyderabad","Rising Pune Supergiant",wickets,6
2017,2017-04-23,"Gujarat Lions","Kings XI Punjab","Kings XI Punjab",runs,26
2017,2017-04-23,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",runs,82
2017,2017-04-24,"Mumbai Indians","Rising Pune Supergiant","Rising Pune Supergiant",runs,3
2017,2017-04-26,"Rising Pune Supergiant","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2017,2017-04-27,"Royal Challengers Bangalore","Gujarat Lions","Gujarat Lions",wickets,7
2017,2017-04-28,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders",wickets,7
2017,2017-04-29,"Rising Pune Supergiant","Royal Challengers Bangalore","Rising Pune Supergiant",runs,61
2017,2017-04-29,"Gujarat Lions","Mumbai Indians","Mumbai Indians",tie,0
2017,2017-05-01,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians",wickets,5
2017,2017-05-01,"Rising Pune Supergiant","Gujarat Lions","Rising Pune Supergiant",wickets,5
2017,2017-05-02,"Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils",wickets,6
2017,2017-05-03,"Kolkata Knight Riders","Rising Pune Supergiant","Rising Pune Supergiant",wickets,4
2017,2017-05-04,"Delhi Daredevils","Gujarat Lions","Delhi Daredevils",wickets,7
2017,2017-05-05,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",runs,19
2017,2017-05-06,"Delhi Daredevils","Mumbai Indians","Mumbai Indians",runs,146
2017,2017-05-07,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",wickets,6
2017,2017-05-10,"Gujarat Lions","Delhi Daredevils","Delhi Daredevils",wickets,2
2017,2017-05-11,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab",runs,7
2017,2017-05-12,"Delhi Daredevils","Rising Pune Supergiant","Delhi Daredevils",runs,7
2017,2017-05-13,"Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,8
2017,2017-05-13,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",runs,9
2017,2017-05-14,"Rising Pune Supergiant","Kings XI Punjab","Rising Pune Supergiant",wickets,9
2017,2017-05-14,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,10
2017,2017-05-16,"Mumbai Indians","Rising Pune Supergiant","Rising Pune Supergiant",runs,20
2017,2017-05-17,"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2017,2017-05-19,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,6
2018,2018-04-07,"Mumbai Indians","Chennai Super Kings","Chennai Super Kings",wickets,1
2018,2018-04-08,"Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders",wickets,4
2018,2018-04-11,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals",runs,10
2018,2018-04-13,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",wickets,4
2018,2018-04-14,"Mumbai Indians","Delhi Daredevils","Delhi Daredevils",wickets,7
2018,2018-04-14,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,5
2018,2018-04-15,"Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals",runs,19
2018,2018-04-16,"Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders",runs,71
2018,2018-04-17,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians",runs,46
2018,2018-04-18,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2018,2018-04-20,"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings",runs,64
2018,2018-04-21,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab",wickets,9
2018,2018-04-21,"Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore",wickets,6
2018,2018-04-22,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",wickets,3
2018,2018-04-23,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab",runs,4
2018,2018-04-24,"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad",runs,31
2018,2018-04-25,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",wickets,5
2018,2018-04-27,"Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils",runs,55
2018,2018-04-28,"Chennai Super Kings","Mumbai Indians","Mumbai Indians",wickets,8
2018,2018-04-29,"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad",runs,11
2018,2018-04-29,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",wickets,6
2018,2018-04-30,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings",runs,13
2018,2018-05-01,"Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",runs,14
2018,2018-05-02,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",runs,4
2018,2018-05-03,"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders",wickets,6
2018,2018-05-04,"Kings XI Punjab","Mumbai Indians","Mumbai Indians",wickets,6
2018,2018-05-05,"Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings",wickets,6
2018,2018-05-06,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",runs,13
2018,2018-05-06,"Kings XI Punjab","Rajasthan Royals","Kings XI Punjab",wickets,6
2018,2018-05-08,"Rajasthan Royals","Kings XI Punjab","Rajasthan Royals",runs,15
2018,2018-05-09,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",runs,102
2018,2018-05-10,"Delhi Daredevils","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,9
2018,2018-05-11,"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals",wickets,4
2018,2018-05-12,"Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders",runs,31
2018,2018-05-12,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,5
2018,2018-05-13,"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings",wickets,8
2018,2018-05-13,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",wickets,7
2018,2018-05-14,"Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,10
2018,2018-05-15,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",wickets,6
2018,2018-05-16,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",runs,3
2018,2018-05-17,"Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore",runs,14
2018,2018-05-18,"Delhi Daredevils","Chennai Super Kings","Delhi Daredevils",runs,34
2018,2018-05-19,"Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals",runs,30
2018,2018-05-20,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils",runs,11
2018,2018-05-20,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",wickets,5
2018,2018-05-22,"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings",wickets,2
2018,2018-05-23,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",runs,25
2018,2018-05-25,"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad",runs,14
2018,2018-05-27,"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings",wickets,8
2019,2019-03-24,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",wickets,6
2019,2019-03-24,"Mumbai Indians","Delhi Capitals","Delhi Capitals",runs,37
2019,2019-03-25,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab",runs,14
2019,2019-03-26,"Delhi Capitals","Chennai Super Kings","Chennai Super Kings",wickets,6
2019,2019-03-27,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",runs,28
2019,2019-03-28,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",runs,6
2019,2019-03-30,"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals",tie,0
2019,2019-04-02,"Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals",wickets,7
2019,2019-04-03,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",runs,37
2019,2019-04-04,"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,5
2019,2019-04-05,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",wickets,5
2019,2019-04-07,"Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals",wickets,4
2019,2019-04-07,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders",wickets,8
2019,2019-04-10,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",wickets,3
2019,2019-04-11,"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings",wickets,4
2019,2019-04-12,"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals",wickets,7
2019,2019-04-13,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",wickets,4
2019,2019-04-14,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",wickets,5
2019,2019-04-15,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians",wickets,5
2019,2019-04-18,"Delhi Capitals","Mumbai Indians","Mumbai Indians",runs,40
2019,2019-04-19,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore",runs,10
2019,2019-04-20,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",wickets,5
2019,2019-04-20,"Delhi Capitals","Kings XI Punjab","Delhi Capitals",wickets,5
2019,2019-04-21,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",runs,1
2019,2019-04-22,"Rajasthan Royals","Delhi Capitals","Delhi Capitals",wickets,6
2019,2019-04-24,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",runs,17
2019,2019-04-25,"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals",wickets,3
2019,2019-04-27,"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals",wickets,7
2019,2019-04-28,"Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals",runs,16
2019,2019-04-28,"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders",runs,34
2019,2019-04-30,"Royal Challengers Bangalore","Rajasthan Royals","No Result","No Result",0
2019,2019-05-02,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",tie,0
2019,2019-05-04,"Delhi Capitals","Rajasthan Royals","Delhi Capitals",wickets,5
2019,2019-05-04,"Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore",wickets,4
2019,2019-05-05,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",wickets,9
2019,2019-05-08,"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals",wickets,2
2019,2019-05-10,"Chennai Super Kings","Delhi Capitals","Chennai Super Kings",wickets,6
2020,2020-09-19,"Mumbai Indians","Chennai Super Kings","Chennai Super Kings",wickets,5
2020,2020-09-20,"Delhi Capitals","Kings XI Punjab","Delhi Capitals",tie,0
2020,2020-10-21,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,8
2020,2020-11-03,"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,10
2020,2020-09-22,"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals",runs,16
2020,2020-10-24,"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders",runs,59
2020,2020-10-24,"Kings XI Punjab","Sunrisers Hyderabad","Kings XI Punjab",runs,12
2020,2020-10-28,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians",wickets,5
2020,2020-10-09,"Delhi Capitals","Rajasthan Royals","Delhi Capitals",runs,46
2020,2020-10-07,"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders",runs,10
2020,2020-10-31,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,5
2020,2020-10-01,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",runs,48
2020,2020-09-30,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",runs,37
2020,2020-11-02,"Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals",wickets,6
2020,2020-11-01,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",wickets,9
2020,2020-10-11,"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals",wickets,5
2020,2020-09-23,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",runs,49
2020,2020-10-17,"Chennai Super Kings","Delhi Capitals","Delhi Capitals",wickets,5
2020,2020-09-24,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab",runs,97
2020,2020-10-06,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",runs,57
2020,2020-10-18,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",tie,0
2020,2020-10-04,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",wickets,10
2020,2020-10-03,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,8
2020,2020-10-03,"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals",runs,18
2020,2020-10-02,"Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad",runs,7
2020,2020-10-18,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab",tie,0
2020,2020-10-22,"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,8
2020,2020-10-05,"Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals",runs,59
2020,2020-10-26,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab",wickets,8
2020,2020-10-23,"Chennai Super Kings","Mumbai Indians","Mumbai Indians",wickets,10
2020,2020-10-17,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,7
2020,2020-10-10,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",runs,2
2020,2020-10-27,"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad",runs,88
2020,2020-10-10,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",runs,37
2020,2020-10-16,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",wickets,8
2020,2020-09-27,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",wickets,4
2020,2020-10-13,"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings",runs,20
2020,2020-10-11,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,5
2020,2020-11-01,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",runs,60
2020,2020-10-15,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,8
2020,2020-09-29,"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad",runs,15
2020,2020-10-19,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals",wickets,7
2020,2020-09-21,"Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore",runs,10
2020,2020-10-31,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,9
2020,2020-10-29,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",wickets,6
2020,2020-10-30,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",wickets,7
2020,2020-10-04,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",runs,34
2020,2020-09-25,"Delhi Capitals","Chennai Super Kings","Delhi Capitals",runs,44
2020,2020-10-12,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",runs,82
2020,2020-10-25,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",wickets,8
2020,2020-10-08,"Sunrisers Hyderabad","Kings XI Punjab","Sunrisers Hyderabad",runs,69
2020,2020-10-14,"Delhi Capitals","Rajasthan Royals","Delhi Capitals",runs,13
2020,2020-10-25,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",wickets,8
2020,2020-09-26,"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2020,2020-10-20,"Delhi Capitals","Kings XI Punjab","Kings XI Punjab",wickets,5
2020,2020-09-28,"Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",tie,0
2020,2020-11-05,"Mumbai Indians","Delhi Capitals","Mumbai Indians",runs,57
2020,2020-11-06,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,6
2020,2020-11-08,"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals",runs,17
2020,2020-11-10,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,5
